date,MEDV1
2020/1/1,24
2020/1/2,21.6
2020/1/3,34.7
2020/1/4,33.4
2020/1/5,36.2
2020/1/6,28.7
2020/1/7,22.9
2020/1/8,27.1
2020/1/9,16.5
2020/1/10,18.9
2020/1/11,15
2020/1/12,18.9
2020/1/13,21.7
2020/1/14,20.4
2020/1/15,18.2
2020/1/16,19.9
2020/1/17,23.1
2020/1/18,17.5
2020/1/19,20.2
2020/1/20,18.2
2020/1/21,13.6
2020/1/22,19.6
2020/1/23,15.2
2020/1/24,14.5
2020/1/25,15.6
2020/1/26,13.9
2020/1/27,16.6
2020/1/28,14.8
2020/1/29,18.4
2020/1/30,21
2020/1/31,12.7
2020/2/1,14.5
2020/2/2,13.2
2020/2/3,13.1
2020/2/4,13.5
2020/2/5,18.9
2020/2/6,20
2020/2/7,21
2020/2/8,24.7
2020/2/9,30.8
2020/2/10,34.9
2020/2/11,26.6
2020/2/12,25.3
2020/2/13,24.7
2020/2/14,21.2
2020/2/15,19.3
2020/2/16,20
2020/2/17,16.6
2020/2/18,14.4
2020/2/19,19.4
2020/2/20,19.7
2020/2/21,20.5
2020/2/22,25
2020/2/23,23.4
2020/2/24,18.9
2020/2/25,35.4
2020/2/26,24.7
2020/2/27,31.6
2020/2/28,23.3
2020/2/29,19.6
2020/3/1,18.7
2020/3/2,16
2020/3/3,22.2
2020/3/4,25
2020/3/5,33
2020/3/6,23.5
2020/3/7,19.4
2020/3/8,22
2020/3/9,17.4
2020/3/10,20.9
2020/3/11,24.2
2020/3/12,21.7
2020/3/13,22.8
2020/3/14,23.4
2020/3/15,24.1
2020/3/16,21.4
2020/3/17,20
2020/3/18,20.8
2020/3/19,21.2
2020/3/20,20.3
2020/3/21,28
2020/3/22,23.9
2020/3/23,24.8
2020/3/24,22.9
2020/3/25,23.9
2020/3/26,26.6
2020/3/27,22.5
2020/3/28,22.2
2020/3/29,23.6
2020/3/30,28.7
2020/3/31,22.6
2020/4/1,22
2020/4/2,22.9
2020/4/3,25
2020/4/4,20.6
2020/4/5,28.4
2020/4/6,21.4
2020/4/7,38.7
2020/4/8,43.8
2020/4/9,33.2
2020/4/10,27.5
2020/4/11,26.5
2020/4/12,18.6
2020/4/13,19.3
2020/4/14,20.1
2020/4/15,19.5
2020/4/16,19.5
2020/4/17,20.4
2020/4/18,19.8
2020/4/19,19.4
2020/4/20,21.7
2020/4/21,22.8
2020/4/22,18.8
2020/4/23,18.7
2020/4/24,18.5
2020/4/25,18.3
2020/4/26,21.2
2020/4/27,19.2
2020/4/28,20.4
2020/4/29,19.3
2020/4/30,22
2020/5/1,20.3
2020/5/2,20.5
2020/5/3,17.3
2020/5/4,18.8
2020/5/5,21.4
2020/5/6,15.7
2020/5/7,16.2
2020/5/8,18
2020/5/9,14.3
2020/5/10,19.2
2020/5/11,19.6
2020/5/12,23
2020/5/13,18.4
2020/5/14,15.6
2020/5/15,18.1
2020/5/16,17.4
2020/5/17,17.1
2020/5/18,13.3
2020/5/19,17.8
2020/5/20,14
2020/5/21,14.4
2020/5/22,13.4
2020/5/23,15.6
2020/5/24,11.8
2020/5/25,13.8
2020/5/26,15.6
2020/5/27,14.6
2020/5/28,17.8
2020/5/29,15.4
2020/5/30,21.5
2020/5/31,19.6
2020/6/1,15.3
2020/6/2,19.4
2020/6/3,17
2020/6/4,15.6
2020/6/5,13.1
2020/6/6,41.3
2020/6/7,24.3
2020/6/8,23.3
2020/6/9,27
2020/6/10,50
2020/6/11,50
2020/6/12,50
2020/6/13,22.7
2020/6/14,25
2020/6/15,50
2020/6/16,23.8
2020/6/17,23.8
2020/6/18,22.3
2020/6/19,17.4
2020/6/20,19.1
2020/6/21,23.1
2020/6/22,23.6
2020/6/23,22.6
2020/6/24,29.4
2020/6/25,23.2
2020/6/26,24.6
2020/6/27,29.9
2020/6/28,37.2
2020/6/29,39.8
2020/6/30,36.2
2020/7/1,37.9
2020/7/2,32.5
2020/7/3,26.4
2020/7/4,29.6
2020/7/5,50
2020/7/6,32
2020/7/7,29.8
2020/7/8,34.9
2020/7/9,37
2020/7/10,30.5
2020/7/11,36.4
2020/7/12,31.1
2020/7/13,29.1
2020/7/14,50
2020/7/15,33.3
2020/7/16,30.3
2020/7/17,34.6
2020/7/18,34.9
2020/7/19,32.9
2020/7/20,24.1
2020/7/21,42.3
2020/7/22,48.5
2020/7/23,50
2020/7/24,22.6
2020/7/25,24.4
2020/7/26,22.5
2020/7/27,24.4
2020/7/28,20
2020/7/29,21.7
2020/7/30,19.3
2020/7/31,22.4
2020/8/1,28.1
2020/8/2,23.7
2020/8/3,25
2020/8/4,23.3
2020/8/5,28.7
2020/8/6,21.5
2020/8/7,23
2020/8/8,26.7
2020/8/9,21.7
2020/8/10,27.5
2020/8/11,30.1
2020/8/12,44.8
2020/8/13,50
2020/8/14,37.6
2020/8/15,31.6
2020/8/16,46.7
2020/8/17,31.5
2020/8/18,24.3
2020/8/19,31.7
2020/8/20,41.7
2020/8/21,48.3
2020/8/22,29
2020/8/23,24
2020/8/24,25.1
2020/8/25,31.5
2020/8/26,23.7
2020/8/27,23.3
2020/8/28,22
2020/8/29,20.1
2020/8/30,22.2
2020/8/31,23.7
2020/9/1,17.6
2020/9/2,18.5
2020/9/3,24.3
2020/9/4,20.5
2020/9/5,24.5
2020/9/6,26.2
2020/9/7,24.4
2020/9/8,24.8
2020/9/9,29.6
2020/9/10,42.8
2020/9/11,21.9
2020/9/12,20.9
2020/9/13,44
2020/9/14,50
2020/9/15,36
2020/9/16,30.1
2020/9/17,33.8
2020/9/18,43.1
2020/9/19,48.8
2020/9/20,31
2020/9/21,36.5
2020/9/22,22.8
2020/9/23,30.7
2020/9/24,50
2020/9/25,43.5
2020/9/26,20.7
2020/9/27,21.1
2020/9/28,25.2
2020/9/29,24.4
2020/9/30,35.2
2020/10/1,32.4
2020/10/2,32
2020/10/3,33.2
2020/10/4,33.1
2020/10/5,29.1
2020/10/6,35.1
2020/10/7,45.4
2020/10/8,35.4
2020/10/9,46
2020/10/10,50
2020/10/11,32.2
2020/10/12,22
2020/10/13,20.1
2020/10/14,23.2
2020/10/15,22.3
2020/10/16,24.8
2020/10/17,28.5
2020/10/18,37.3
2020/10/19,27.9
2020/10/20,23.9
2020/10/21,21.7
2020/10/22,28.6
2020/10/23,27.1
2020/10/24,20.3
2020/10/25,22.5
2020/10/26,29
2020/10/27,24.8
2020/10/28,22
2020/10/29,26.4
2020/10/30,33.1
2020/10/31,36.1
2020/11/1,28.4
2020/11/2,33.4
2020/11/3,28.2
2020/11/4,22.8
2020/11/5,20.3
2020/11/6,16.1
2020/11/7,22.1
2020/11/8,19.4
2020/11/9,21.6
2020/11/10,23.8
2020/11/11,16.2
2020/11/12,17.8
2020/11/13,19.8
2020/11/14,23.1
2020/11/15,21
2020/11/16,23.8
2020/11/17,23.1
2020/11/18,20.4
2020/11/19,18.5
2020/11/20,25
2020/11/21,24.6
2020/11/22,23
2020/11/23,22.2
2020/11/24,19.3
2020/11/25,22.6
2020/11/26,19.8
2020/11/27,17.1
2020/11/28,19.4
2020/11/29,22.2
2020/11/30,20.7
2020/12/1,21.1
2020/12/2,19.5
2020/12/3,18.5
2020/12/4,20.6
2020/12/5,19
2020/12/6,18.7
2020/12/7,32.7
2020/12/8,16.5
2020/12/9,23.9
2020/12/10,31.2
2020/12/11,17.5
2020/12/12,17.2
2020/12/13,23.1
2020/12/14,24.5
2020/12/15,26.6
2020/12/16,22.9
2020/12/17,24.1
2020/12/18,18.6
2020/12/19,30.1
2020/12/20,18.2
2020/12/21,20.6
2020/12/22,17.8
2020/12/23,21.7
2020/12/24,22.7
2020/12/25,22.6
2020/12/26,25
2020/12/27,19.9
2020/12/28,20.8
2020/12/29,16.8
2020/12/30,21.9
2020/12/31,27.5
2021/1/1,21.9
2021/1/2,23.1
2021/1/3,50
2021/1/4,50
2021/1/5,50
2021/1/6,50
2021/1/7,50
2021/1/8,13.8
2021/1/9,13.8
2021/1/10,15
2021/1/11,13.9
2021/1/12,13.3
2021/1/13,13.1
2021/1/14,10.2
2021/1/15,10.4
2021/1/16,10.9
2021/1/17,11.3
2021/1/18,12.3
2021/1/19,8.8
2021/1/20,7.2
2021/1/21,10.5
2021/1/22,7.4
2021/1/23,10.2
2021/1/24,11.5
2021/1/25,15.1
2021/1/26,23.2
2021/1/27,9.7
2021/1/28,13.8
2021/1/29,12.7
2021/1/30,13.1
2021/1/31,12.5
2021/2/1,8.5
2021/2/2,5
2021/2/3,6.3
2021/2/4,5.6
2021/2/5,7.2
2021/2/6,12.1
2021/2/7,8.3
2021/2/8,8.5
2021/2/9,5
2021/2/10,11.9
2021/2/11,27.9
2021/2/12,17.2
2021/2/13,27.5
2021/2/14,15
2021/2/15,17.2
2021/2/16,17.9
2021/2/17,16.3
2021/2/18,7
2021/2/19,7.2
2021/2/20,7.5
2021/2/21,10.4
2021/2/22,8.8
2021/2/23,8.4
2021/2/24,16.7
2021/2/25,14.2
2021/2/26,20.8
2021/2/27,13.4
2021/2/28,11.7
2021/3/1,8.3
2021/3/2,10.2
2021/3/3,10.9
2021/3/4,11
2021/3/5,9.5
2021/3/6,14.5
2021/3/7,14.1
2021/3/8,16.1
2021/3/9,14.3
2021/3/10,11.7
2021/3/11,13.4
2021/3/12,9.6
2021/3/13,8.7
2021/3/14,8.4
2021/3/15,12.8
2021/3/16,10.5
2021/3/17,17.1
2021/3/18,18.4
2021/3/19,15.4
2021/3/20,10.8
2021/3/21,11.8
2021/3/22,14.9
2021/3/23,12.6
2021/3/24,14.1
2021/3/25,13
2021/3/26,13.4
2021/3/27,15.2
2021/3/28,16.1
2021/3/29,17.8
2021/3/30,14.9
2021/3/31,14.1
2021/4/1,12.7
2021/4/2,13.5
2021/4/3,14.9
2021/4/4,20
2021/4/5,16.4
2021/4/6,17.7
2021/4/7,19.5
2021/4/8,20.2
2021/4/9,21.4
2021/4/10,19.9
2021/4/11,19
2021/4/12,19.1
2021/4/13,19.1
2021/4/14,20.1
2021/4/15,19.9
2021/4/16,19.6
2021/4/17,23.2
2021/4/18,29.8
2021/4/19,13.8
2021/4/20,13.3
2021/4/21,16.7
2021/4/22,12
2021/4/23,14.6
2021/4/24,21.4
2021/4/25,23
2021/4/26,23.7
2021/4/27,25
2021/4/28,21.8
2021/4/29,20.6
2021/4/30,21.2
2021/5/1,19.1
2021/5/2,20.6
2021/5/3,15.2
2021/5/4,7
2021/5/5,8.1
2021/5/6,13.6
2021/5/7,20.1
2021/5/8,21.8
2021/5/9,24.5
2021/5/10,23.1
2021/5/11,19.7
2021/5/12,18.3
2021/5/13,21.2
2021/5/14,17.5
2021/5/15,16.8
2021/5/16,22.4
2021/5/17,20.6
2021/5/18,23.9
2021/5/19,22
2021/5/20,11.9
